iter	Passed	Remaining
546	979	811
547	981	809
548	982	807
549	984	805
550	985	803
551	987	801
552	989	799
553	990	797
554	992	795
555	993	793
556	995	791
557	996	789
558	998	787
559	1000	785
560	1001	783
561	1003	781
562	1004	779
563	1006	777
564	1007	775
565	1009	774
566	1010	771
567	1012	770
568	1014	768
569	1016	766
570	1017	764
571	1019	762
572	1020	760
573	1022	758
574	1023	756
575	1025	754
576	1026	752
577	1028	750
578	1029	748
579	1031	746
580	1032	744
581	1034	742
582	1035	740
583	1037	738
584	1038	736
585	1040	734
586	1041	733
587	1043	731
588	1044	729
589	1046	727
590	1047	725
591	1049	723
592	1050	721
593	1052	719
594	1053	717
595	1055	715
596	1057	713
597	1058	711
598	1060	709
599	1061	707
600	1063	705
601	1064	703
602	1066	702
603	1067	700
604	1069	698
605	1070	696
606	1072	694
607	1073	692
608	1075	690
609	1077	688
610	1078	686
611	1080	684
612	1081	682
613	1083	681
614	1084	679
615	1086	677
616	1087	675
617	1089	673
618	1090	671
619	1092	669
620	1093	667
621	1095	665
622	1096	663
623	1098	661
624	1100	660
625	1101	658
626	1103	656
627	1105	654
628	1106	652
629	1108	650
630	1109	648
631	1111	646
632	1112	645
633	1114	643
634	1115	641
635	1117	639
636	1118	637
637	1120	635
638	1121	633
639	1123	631
640	1125	630
641	1126	628
642	1128	626
643	1129	624
644	1131	622
645	1133	620
646	1134	619
647	1136	617
648	1138	615
649	1140	613
650	1142	612
651	1144	610
652	1145	608
653	1147	606
654	1149	605
655	1150	603
656	1152	601
657	1154	599
658	1155	598
659	1157	596
660	1159	594
661	1160	592
662	1162	590
663	1163	588
664	1165	586
665	1166	585
666	1168	583
667	1170	581
668	1171	579
669	1173	577
670	1174	575
671	1176	574
672	1177	572
673	1179	570
674	1180	568
675	1182	566
676	1184	564
677	1185	563
678	1187	561
679	1188	559
680	1190	557
681	1191	555
682	1193	553
683	1194	551
684	1196	550
685	1197	548
686	1199	546
687	1200	544
688	1202	542
689	1204	541
690	1205	539
691	1207	537
692	1209	535
693	1210	533
694	1212	532
695	1213	530
696	1215	528
697	1216	526
698	1218	524
699	1219	522
700	1221	520
701	1222	519
702	1224	517
703	1225	515
704	1227	513
705	1228	511
706	1230	509
707	1231	508
708	1233	506
709	1235	504
710	1236	502
711	1238	500
712	1239	498
713	1240	497
714	1242	495
715	1244	493
716	1245	491
717	1247	489
718	1248	488
719	1250	486
720	1251	484
721	1253	482
722	1254	480
723	1256	478
724	1257	477
725	1259	475
726	1260	473
727	1262	471
728	1263	469
729	1265	468
730	1266	466
731	1268	464
732	1269	462
733	1271	460
734	1272	458
735	1274	457
736	1276	455
737	1278	453
738	1279	452
739	1281	450
740	1283	448
741	1284	446
742	1286	444
743	1287	443
744	1289	441
745	1290	439
746	1292	437
747	1293	435
748	1295	434
749	1297	432
750	1298	430
751	1300	428
752	1301	426
753	1303	425
754	1305	423
755	1306	421
756	1308	420
757	1310	418
758	1311	416
759	1313	414
760	1314	412
761	1316	411
762	1318	409
763	1319	407
764	1321	405
765	1323	404
766	1324	402
767	1326	400
768	1328	398
769	1329	397
770	1331	395
771	1333	393
772	1334	391
773	1336	390
774	1338	388
775	1339	386
776	1341	384
777	1343	383
778	1344	381
779	1346	379
780	1347	377
781	1349	376
782	1351	374
783	1352	372
784	1354	370
785	1355	369
786	1357	367
787	1358	365
788	1360	363
789	1361	361
790	1363	360
791	1364	358
792	1366	356
793	1367	354
794	1369	353
795	1370	351
796	1372	349
797	1373	347
798	1375	345
799	1376	344
800	1378	342
801	1379	340
802	1381	338
803	1382	337
804	1384	335
805	1386	333
806	1387	331
807	1389	330
808	1390	328
809	1392	326
810	1393	324
811	1395	323
812	1397	321
813	1401	320
814	1403	318
815	1405	316
816	1406	315
817	1408	313
818	1409	311
819	1411	309
820	1413	308
821	1414	306
822	1416	304
823	1417	302
824	1419	301
825	1420	299
826	1422	297
827	1424	295
828	1425	294
829	1427	292
830	1428	290
831	1430	288
832	1431	287
833	1433	285
834	1434	283
835	1436	281
836	1437	280
837	1439	278
838	1440	276
839	1442	274
840	1443	272
841	1445	271
842	1447	269
843	1448	267
844	1456	267
845	1458	265
846	1459	263
847	1461	261
848	1463	260
849	1464	258
850	1465	256
851	1467	254
852	1469	253
853	1470	251
854	1472	249
855	1473	247
856	1475	246
857	1476	244
858	1478	242
859	1479	240
860	1481	239
861	1482	237
862	1484	235
863	1485	233
864	1487	232
865	1488	230
866	1490	228
867	1491	226
868	1493	225
869	1494	223
870	1496	221
871	1498	219
872	1499	218
873	1501	216
874	1502	214
875	1504	212
876	1505	211
877	1507	209
878	1509	207
879	1510	206
880	1512	204
881	1514	202
882	1515	200
883	1517	199
884	1518	197
885	1520	195
886	1522	193
887	1523	192
888	1525	190
889	1526	188
890	1528	186
891	1530	185
892	1531	183
893	1533	181
894	1534	180
895	1536	178
896	1538	176
897	1539	174
898	1541	173
899	1542	171
900	1544	169
901	1545	167
902	1547	166
903	1549	164
904	1550	162
905	1552	161
906	1553	159
907	1555	157
908	1556	155
909	1558	154
910	1559	152
911	1561	150
912	1562	148
913	1564	147
914	1565	145
915	1567	143
916	1568	142
917	1570	140
918	1572	138
919	1573	136
920	1575	135
921	1576	133
922	1578	131
923	1579	129
924	1581	128
925	1582	126
926	1584	124
927	1585	123
928	1587	121
929	1588	119
930	1590	117
931	1591	116
932	1593	114
933	1594	112
934	1596	110
935	1598	109
936	1599	107
937	1600	105
938	1602	104
939	1603	102
940	1605	100
941	1607	98
942	1608	97
943	1610	95
944	1611	93
945	1613	92
946	1614	90
947	1616	88
948	1617	86
949	1619	85
950	1620	83
951	1622	81
952	1623	80
953	1625	78
954	1627	76
955	1628	74
956	1630	73
957	1631	71
958	1633	69
959	1634	68
960	1636	66
961	1637	64
962	1639	62
963	1640	61
964	1642	59
965	1643	57
966	1645	56
967	1646	54
968	1648	52
969	1649	51
970	1651	49
971	1652	47
972	1654	45
973	1655	44
974	1657	42
975	1658	40
976	1660	39
977	1661	37
978	1663	35
979	1665	33
980	1666	32
981	1668	30
982	1669	28
983	1671	27
984	1672	25
985	1674	23
986	1675	22
987	1677	20
988	1678	18
989	1680	16
990	1681	15
991	1683	13
992	1685	11
993	1686	10
994	1688	8
995	1689	6
996	1691	5
997	1692	3
998	1694	1
999	1695	0
