iter	RMSE
156	17764.86174
157	17715.77548
158	17688.68197
159	17656.94364
160	17617.14697
161	17590.12714
162	17555.88972
163	17517.81682
164	17494.4961
165	17458.6917
166	17434.46977
167	17415.29676
168	17398.50689
169	17366.59931
170	17329.06382
171	17302.0106
172	17280.29674
173	17256.67017
174	17224.86365
175	17212.6734
176	17191.66137
177	17162.75027
178	17129.09297
179	17091.60202
180	17054.7397
181	17018.25977
182	16984.58338
183	16962.84778
184	16931.98952
185	16904.21079
186	16876.21427
187	16871.12546
188	16847.89235
189	16806.25248
190	16800.41763
191	16782.44012
192	16751.20504
193	16740.09948
194	16729.43242
195	16705.05325
196	16668.36941
197	16639.89957
198	16617.35413
199	16591.11336
200	16583.6742
201	16556.15696
202	16546.16049
203	16502.96569
204	16475.4554
205	16449.1795
206	16444.13767
207	16413.0248
208	16380.69168
209	16352.58154
210	16322.49709
211	16293.57545
212	16287.42596
213	16280.89537
214	16274.56861
215	16248.18449
216	16223.69983
217	16204.87468
218	16200.51018
219	16165.74047
220	16141.96434
221	16102.12273
222	16067.42819
223	16062.12978
224	16031.58174
225	15992.54588
226	15964.18351
227	15960.21674
228	15931.97019
229	15914.40016
230	15887.07239
231	15854.68087
232	15834.43093
233	15804.4301
234	15781.54293
235	15766.98452
236	15744.38534
237	15722.88342
238	15718.14261
239	15686.31044
240	15658.07621
241	15627.75815
242	15610.74541
243	15585.42712
244	15582.19301
245	15579.06926
246	15557.42685
247	15534.47525
248	15501.10327
249	15472.80098
250	15465.63508
251	15455.21623
252	15426.91132
253	15398.94077
254	15364.70145
255	15361.73259
256	15339.56193
257	15336.69575
258	15319.41615
259	15283.34648
260	15259.84345
261	15241.27813
262	15238.52759
263	15212.01747
264	15185.23418
265	15153.17822
266	15121.69945
267	15118.30868
268	15090.36543
269	15067.36623
270	15043.54023
271	15025.40288
272	15022.76252
273	14996.31562
274	14992.69696
275	14966.34053
276	14939.09083
277	14905.38984
278	14880.59251
279	14855.62904
280	14834.32402
281	14810.17726
282	14806.84641
283	14789.98456
284	14767.97757
285	14745.4349
286	14730.67514
287	14712.34791
288	14709.40513
289	14690.19794
290	14667.42602
291	14653.54215
292	14632.70756
293	14597.63863
294	14594.78126
295	14570.4991
296	14552.19853
297	14523.88192
298	14510.44645
299	14492.06263
300	14464.53243
301	14438.25289
302	14411.27628
303	14402.83358
304	14379.43522
305	14361.81479
306	14345.51641
307	14316.15683
308	14300.30455
309	14279.0633
310	14276.87161
311	14260.28387
312	14258.21421
313	14242.28674
314	14239.60535
315	14231.8351
316	14214.17863
317	14182.80164
318	14167.1765
319	14139.88181
320	14113.23876
321	14099.25143
322	14084.7073
323	14060.10989
324	14057.09495
325	14037.54482
326	14014.33617
327	13994.59307
328	13970.56665
329	13968.38296
330	13942.14285
331	13920.936
332	13901.25694
333	13880.46994
334	13878.02159
335	13868.0468
336	13859.15286
337	13839.16883
338	13822.63643
339	13820.36588
340	13808.72025
341	13797.28982
342	13780.88435
343	13765.76059
344	13763.11138
345	13761.14711
346	13744.41136
347	13733.93547
348	13714.37918
349	13684.70701
350	13665.54626
351	13663.32668
352	13641.91238
353	13615.783
354	13600.06213
355	13581.91026
356	13557.53537
357	13536.80194
358	13517.15948
359	13488.25266
360	13472.92471
361	13458.47434
362	13456.82971
363	13455.19988
364	13441.95215
365	13418.27284
366	13400.88193
367	13389.00636
368	13377.74286
369	13364.04548
370	13344.07399
371	13315.32239
372	13313.52615
373	13288.95562
374	13270.81138
375	13257.29748
376	13237.28629
377	13214.84091
378	13199.74248
379	13184.82184
380	13170.41306
381	13158.45771
382	13149.34954
383	13144.88254
384	13122.96348
385	13103.25142
386	13096.42578
387	13078.09408
388	13060.23378
389	13040.03358
390	13027.48452
391	13011.53311
392	13000.74562
393	12983.80585
394	12964.13644
395	12956.81182
396	12941.98996
397	12931.79012
398	12929.87768
399	12915.23156
400	12889.19046
401	12864.0941
402	12851.02928
403	12835.03374
404	12818.36581
405	12794.56215
406	12781.04446
407	12777.00408
408	12754.46583
409	12738.09795
410	12727.39058
411	12706.53966
412	12695.22045
413	12693.83449
414	12675.96838
415	12655.10418
416	12639.51348
417	12638.15622
418	12622.84045
419	12611.72658
420	12593.86408
421	12592.61371
422	12574.69157
423	12556.78474
424	12539.183
425	12522.9681
426	12510.31908
427	12493.44279
428	12491.8788
429	12470.40014
430	12450.6699
431	12438.63465
432	12423.42935
433	12401.42019
434	12377.4043
435	12357.30276
436	12339.91772
437	12338.40819
438	12319.35188
439	12318.04207
440	12300.66473
441	12286.87092
442	12285.84479
443	12265.88733
444	12240.97718
445	12225.88516
446	12206.93563
447	12185.70083
448	12163.4926
449	12148.38781
450	12136.91834
451	12126.99674
452	12110.67693
453	12109.4256
454	12093.58435
455	12080.47002
456	12064.53518
457	12057.30321
458	12040.06674
459	12025.78566
460	12014.47161
461	12001.34537
462	11987.45359
463	11970.73727
464	11953.00217
465	11949.57784
466	11948.46007
467	11933.53999
468	11924.63409
469	11916.23736
470	11901.55605
471	11885.76158
472	11884.64629
473	11872.31286
474	11862.84343
475	11843.48958
476	11838.59719
477	11817.64811
478	11800.80715
479	11779.15658
480	11778.05575
481	11765.71736
482	11758.63703
483	11748.21084
484	11734.38647
485	11722.12734
486	11708.09737
487	11691.18813
488	11670.73863
489	11657.55561
490	11656.53997
491	11645.00487
492	11634.45727
493	11619.59957
494	11605.00534
495	11590.39312
496	11570.81825
497	11549.72642
498	11536.14024
499	11521.56167
500	11502.7251
501	11490.54386
502	11477.51733
503	11466.91198
504	11453.81617
505	11445.34462
506	11429.87047
507	11420.40011
508	11411.01896
509	11409.06649
510	11391.65288
511	11373.42627
512	11361.88698
513	11345.05016
514	11333.40862
515	11322.55855
516	11306.36416
517	11297.90986
518	11285.97367
519	11271.41869
520	11255.2652
521	11243.24865
522	11227.20608
523	11215.76675
524	11202.94123
525	11193.01767
526	11189.09307
527	11172.75138
528	11156.74836
529	11144.34556
530	11134.82629
531	11124.44924
532	11118.76336
533	11110.21509
534	11097.00391
535	11079.97016
536	11070.54298
537	11068.75676
538	11067.56191
539	11066.55463
540	11053.35668
541	11035.31515
542	11024.00523
543	11009.86708
544	10998.72014
545	10986.87338
546	10974.99849
547	10962.09039
548	10955.67359
549	10939.68201
550	10924.15732
551	10905.99221
552	10895.68021
553	10875.13902
554	10860.49714
555	10849.84327
556	10842.31812
557	10827.27358
558	10807.7504
559	10796.92985
560	10783.57485
561	10780.04737
562	10768.68388
563	10760.3861
564	10753.02573
565	10739.97298
566	10724.4477
567	10713.61265
568	10699.53988
569	10685.97684
570	10669.67381
571	10658.79234
572	10645.24261
573	10638.17715
574	10626.64673
575	10615.54955
576	10605.93879
577	10596.20586
578	10590.36219
579	10580.25412
580	10567.81336
581	10552.67072
582	10541.29939
583	10540.22347
584	10534.00211
585	10520.44943
586	10511.24575
587	10498.62786
588	10486.49458
589	10474.43856
590	10465.94475
591	10454.09832
592	10445.92971
593	10437.27133
594	10422.85411
595	10408.36881
596	10396.96591
597	10387.20447
598	10379.21761
599	10367.46426
600	10355.21406
601	10353.94175
602	10343.84444
603	10336.9949
604	10323.97452
605	10314.37145
606	10309.13684
607	10292.18126
608	10279.69471
609	10265.78926
610	10254.54154
611	10244.48648
612	10236.79383
613	10221.45003
614	10215.03363
615	10207.0833
616	10192.78532
617	10191.6083
618	10183.0047
619	10176.02213
620	10163.82067
621	10156.79511
622	10140.19388
623	10129.62066
624	10115.63979
625	10107.40681
626	10092.89442
627	10080.49219
628	10071.53005
629	10060.10557
630	10050.44716
631	10036.69434
632	10024.97722
633	10010.50548
634	10000.19881
635	9994.327233
636	9978.632949
637	9970.114581
638	9959.279019
639	9954.00359
640	9937.972603
641	9929.348969
642	9920.207867
643	9907.452343
644	9887.643326
645	9876.876577
646	9864.030443
647	9855.916507
648	9840.997895
649	9830.589796
650	9829.31034
651	9813.692152
652	9801.659594
653	9787.663668
654	9775.744787
655	9767.431972
656	9753.03884
657	9736.819422
658	9727.110641
659	9714.205702
660	9703.195346
661	9690.857941
662	9678.63641
663	9669.32493
664	9659.891028
665	9650.392808
666	9645.180177
667	9636.11999
668	9618.438518
669	9614.312541
670	9606.370198
671	9596.373693
672	9587.058397
673	9572.548763
674	9561.545525
675	9547.900562
676	9538.155931
677	9531.35472
678	9522.379917
679	9512.220177
680	9507.657144
681	9500.126251
682	9486.053018
683	9472.951058
684	9458.4166
685	9444.992515
686	9433.562911
687	9424.371911
688	9414.729616
689	9408.74956
690	9401.464233
691	9400.851128
692	9396.648368
693	9388.593148
694	9378.682898
695	9368.876487
696	9361.56666
697	9360.391266
698	9353.702361
699	9341.972044
700	9338.261812
701	9328.506029
702	9323.644292
703	9314.531269
704	9307.206432
705	9298.43635
706	9290.359621
707	9280.579865
708	9263.819245
709	9255.415553
710	9253.988296
711	9240.099407
712	9232.780533
713	9224.354287
714	9213.952633
715	9205.025287
716	9200.073971
717	9187.61311
718	9177.58066
719	9167.999317
720	9165.437998
721	9157.363374
722	9149.811746
723	9144.475578
724	9136.048493
725	9129.238164
726	9127.676019
727	9115.604461
728	9108.905741
729	9101.256641
730	9092.282737
731	9090.804098
732	9082.266193
733	9079.868639
734	9072.89435
735	9066.024371
736	9054.032298
737	9042.785012
738	9033.612587
739	9024.500034
740	9013.144405
741	9007.576706
742	8999.930773
743	8988.784054
744	8980.66105
745	8968.665875
746	8963.983603
747	8952.063118
748	8940.148802
749	8933.613757
750	8923.226029
751	8915.456667
752	8907.335122
753	8895.086977
754	8886.998977
755	8879.961157
756	8874.525801
757	8864.504522
758	8852.567925
759	8849.705105
760	8839.676493
761	8835.791002
762	8827.475993
763	8819.778507
764	8813.415182
765	8803.158613
766	8793.716657
767	8782.52554
768	8777.544737
769	8773.500416
770	8765.185983
771	8757.983641
772	8744.44776
773	8735.009079
774	8727.314655
775	8717.184971
776	8706.751267
777	8701.187291
778	8694.952189
779	8686.375685
780	8677.377927
781	8670.480417
782	8662.280253
783	8657.102667
784	8654.33127
785	8645.427155
786	8637.48709
787	8632.837127
788	8625.958782
789	8616.868254
790	8609.91497
791	8603.232306
792	8596.95903
793	8589.319176
794	8579.82474
795	8574.51321
796	8564.316276
797	8554.627094
798	8544.662906
799	8542.761072
800	8540.9117
801	8532.147591
802	8521.609619
803	8512.975966
804	8504.639448
805	8496.828764
806	8485.293096
807	8474.523504
808	8472.391672
809	8463.511848
810	8453.044466
811	8445.233914
812	8436.792753
813	8430.073238
814	8426.500816
815	8417.663448
816	8411.092912
817	8403.834488
818	8401.055597
819	8394.564498
820	8387.13658
821	8380.176264
822	8375.24785
823	8368.38314
824	8360.015254
825	8349.45595
826	8338.87484
827	8331.472368
828	8323.519771
829	8320.490655
830	8314.239753
831	8306.759003
832	8298.216809
833	8291.16163
834	8284.506317
835	8279.913184
836	8271.253703
837	8266.69277
838	8260.133944
839	8251.332094
840	8247.276619
841	8237.544877
842	8228.71502
843	8227.693807
844	8217.086186
845	8213.658071
846	8207.349549
847	8199.350537
848	8190.751901
849	8190.331467
850	8189.82912
851	8183.070785
852	8178.554708
853	8171.133041
854	8166.134308
855	8161.363005
856	8154.500319
857	8149.325548
858	8145.592548
859	8140.236801
860	8134.366988
861	8128.607557
862	8126.717978
863	8122.022557
864	8114.373652
865	8109.923374
866	8101.64722
867	8093.108715
868	8086.034958
869	8078.361794
870	8071.03758
871	8070.622089
872	8064.346276
873	8055.384104
874	8047.347151
875	8038.898597
876	8028.734473
877	8020.373274
878	8019.929626
879	8013.992309
880	8007.162788
881	7997.663648
882	7989.874278
883	7980.901391
884	7975.743619
885	7969.362474
886	7961.347249
887	7954.29241
888	7948.415033
889	7940.987697
890	7931.230798
891	7923.364663
892	7914.60997
893	7908.677075
894	7901.15409
895	7894.357434
896	7888.229935
897	7882.599754
898	7881.619958
899	7876.22483
900	7872.95188
901	7863.646959
902	7855.65
903	7849.601897
904	7843.470543
905	7835.912096
906	7828.474419
907	7819.473778
908	7815.609262
909	7807.003577
910	7799.457315
911	7791.978318
912	7784.699901
913	7778.922179
914	7771.933335
915	7761.246095
916	7751.928042
917	7749.627994
918	7740.533616
919	7734.192651
920	7725.054761
921	7714.101529
922	7704.606781
923	7697.653627
924	7690.156138
925	7687.489598
926	7675.019784
927	7669.780302
928	7667.07836
929	7665.458127
930	7656.481328
931	7650.604359
932	7649.756119
933	7646.175404
934	7641.520761
935	7637.076486
936	7633.46455
937	7625.213107
938	7624.186967
939	7620.039229
940	7612.793391
941	7605.547064
942	7597.755549
943	7595.112912
944	7593.800766
945	7586.554293
946	7575.032941
947	7568.169039
948	7563.660533
949	7560.292041
950	7555.357877
951	7549.032657
952	7540.757324
953	7534.824828
954	7528.176714
955	7522.870232
956	7519.89143
957	7512.298503
958	7506.46816
959	7500.067834
960	7495.76315
961	7491.327503
962	7490.648587
963	7484.03402
964	7476.628412
965	7470.058251
966	7465.827193
967	7458.910065
968	7454.792459
969	7453.253249
970	7451.808523
971	7443.869009
972	7435.381564
973	7430.064815
974	7425.969301
975	7421.491803
976	7414.576819
977	7407.105253
978	7401.576932
979	7397.00416
980	7390.277847
981	7385.289582
982	7381.702909
983	7377.959299
984	7377.311235
985	7372.955699
986	7365.150785
987	7356.564032
988	7349.109878
989	7347.906385
990	7341.243921
991	7334.760256
992	7328.639492
993	7323.310045
994	7314.778279
995	7311.842857
996	7304.280178
997	7295.213499
998	7284.961126
999	7279.516383
